Simulation_AT3_TP3_TPR2_DOC1
Year	Month	Day	GlobalRadiation	CloudCover	AirTemperature	RelativeHumidity	AirPressure	WindSpeed	Precipitation	InflowQ	InflowT	InflowC	InflowSS	InflowTP	InflowDOP	InflowChla	InflowDOC	InflowDIC	InflowO	InflowNO3	InflowNH4	InflowSO4	InflowFe2	InflowCa2	InflowpH	InflowCH4	InflowFe3	InflowAl3	InflowSiO4	InflowSiO2	Inflowdiatom
2010	1	1	NaN	0.788	-9.12	88	948	0.1	0.6	719.56	0.1775	0	606.2	4	0.01	0.01	12124	112520	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	1	2	NaN	0.038	-7.15	84	960	0	0	693.96	0.3125	0	605.25	3.99876712328767	0.01	0.01	12105	113780	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	1	3	NaN	0.662	-11.37	85	954	0	0	670.05	-1.585	0	604.29	3.99753424657534	0.01	0.01	12086	115050	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	1	4	NaN	0.5	-9.96	85	943	0	0	647.73	0.245	0	603.37	3.99630136986301	0.01	0.01	12067	116330	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	1	5	NaN	0.462	-11.83	85	948	0	0	626.87	2.6375	0	602.44	3.99506849315069	0.01	0.01	12049	117610	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	1	6	NaN	0	-12.96	78	954	0	0.6	607.37	3.83	0	601.54	3.99383561643836	0.01	0.01	12031	118900	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	1	7	NaN	0	-17.27	76	959	0	0	589.14	3.545	0	600.59	3.99260273972603	0.01	0.01	12012	120190	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	1	8	NaN	0	-17.17	75	969	0	0	572.09	1.58	0	599.65	3.9913698630137	0.01	0.01	11993	121490	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	1	9	NaN	0	-17.83	77	978	0	0	556.14	1.79	0	598.76	3.99013698630137	0.01	0.01	11975	122790	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	1	10	NaN	0	-14.27	79	977	0	0	541.2	2.495	0	597.82	3.98890410958904	0.01	0.01	11956	124100	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	1	11	NaN	0	-12.68	81	972	0	0	527.22	2.285	0	596.88	3.98767123287671	0.01	0.01	11938	125400	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	1	12	NaN	0.125	-10.34	82	966	0	0	514.12	2	0	595.99	3.98643835616438	0.01	0.01	11920	126720	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	1	13	NaN	0.962	-8.84	87	961	0	0	501.84	1.7225	0	595.05	3.98520547945205	0.01	0.01	11901	128030	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	1	14	NaN	1	-6.49	88	960	0	0	490.33	3.9725	0	594.14	3.98397260273973	0.01	0.01	11883	129360	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	1	15	NaN	0.788	-5.18	86	965	0.4	0	479.54	4.3175	0	593.26	3.9827397260274	0.01	0.01	11865	130680	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	1	16	NaN	1	-7.9	87	965	0	0.5	469.41	0.5975	0	592.32	3.98150684931507	0.01	0.01	11846	132000	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	1	17	NaN	1	-4.81	91	958	0	2.3	459.91	-2.71	0	591.42	3.98027397260274	0.01	0.01	11828	133330	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	1	18	NaN	0.962	-0.59	91	960	0	3.5	450.99	-2.635	0	590.53	3.97904109589041	0.01	0.01	11811	134660	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	1	19	NaN	0.462	-2.46	88	966	0	0.7	442.61	1.085	0	589.61	3.97780821917808	0.01	0.01	11792	135980	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	1	20	NaN	1	-6.59	89	968	0	0	434.75	1.79	0	588.73	3.97657534246575	0.01	0.01	11775	137320	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	1	21	NaN	1	-3.21	90	970	0	3.6	427.34	-1.585	0	587.84	3.97534246575342	0.01	0.01	11757	138650	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	1	22	NaN	1	-1.9	91	971	0	4	420.39	-2.215	0	586.94	3.9741095890411	0.01	0.01	11739	139980	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	1	23	NaN	1	-2.46	90	972	0	0.7	413.84	-3.76	0	586.02	3.97287671232877	0.01	0.01	11720	141310	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	1	24	NaN	1	-2.28	91	972	0	0	407.68	-0.04	0	585.16	3.97164383561644	0.01	0.01	11703	142650	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	1	25	NaN	0	-2.65	91	975	0	0.1	401.87	-0.3175	0	584.25	3.97041095890411	0.01	0.01	11685	143980	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	1	26	NaN	1	-6.96	87	974	0	0	396.41	0.455	0	583.37	3.96917808219178	0.01	0.01	11667	145300	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	1	27	NaN	0.712	-5.56	91	943	0	1.5	391.26	3.8975	0	582.51	3.96794520547945	0.01	0.01	11650	146640	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	1	28	NaN	0.662	-5.18	84	928	0.1	0	386.4	3.6875	0	581.61	3.96671232876712	0.01	0.01	11632	147970	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	1	29	NaN	0.912	-1.72	90	925	0.3	0	381.82	2.3525	0	580.7	3.96547945205479	0.01	0.01	11614	149300	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	1	30	NaN	1	-4.06	84	928	0.6	0.9	377.49	-2.4925	0	579.86	3.96424657534247	0.01	0.01	11597	150630	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	1	31	NaN	0.662	-7.71	80	935	0.3	3	373.4	2.705	0	578.99	3.96301369863014	0.01	0.01	11580	151960	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	2	1	NaN	0.162	-12.58	78	942	0	0.9	369.54	-1.2325	0	578.12	3.96178082191781	0.01	0.01	11562	153290	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	2	2	NaN	1	-15.58	80	939	0	0	365.89	1.085	0	577.27	3.96054794520548	0.01	0.01	11545	154620	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	2	3	NaN	1	-7.71	85	NaN	0.2	0.6	362.43	2.8475	0	576.4	3.95931506849315	0.01	0.01	11528	155940	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	2	4	NaN	0.712	-2.09	93	950	0.4	0.4	359.16	3.1925	0	575.52	3.95808219178082	0.01	0.01	11510	157270	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	2	5	NaN	0.962	-3.12	93	956	0.4	0.1	356.05	1.16	0	574.69	3.95684931506849	0.01	0.01	11494	158590	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	2	6	NaN	1	-0.219999999999999	94	963	0.2	0.2	353.12	2.6375	0	573.85	3.95561643835616	0.01	0.01	11477	159910	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	2	7	NaN	0.212	-1.62	89	964	0.4	0.9	350.33	-0.04	0	572.97	3.95438356164384	0.01	0.01	11459	161240	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	2	8	NaN	0.25	-6.21	88	953	0.3	0	347.68	-7.06	0	572.12	3.95315068493151	0.01	0.01	11442	162560	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	2	9	NaN	0.662	-8.27	90	950	0.5	0	345.15	-7.555	0	571.3	3.95191780821918	0.01	0.01	11426	163870	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	2	10	NaN	0.338	-4.81	86	958	0.3	0.2	342.75	-2.635	0	570.49	3.95068493150685	0.01	0.01	11410	165190	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	2	11	NaN	0.088	-9.4	89	956	0.3	0	340.48	0.875	0	569.62	3.94945205479452	0.01	0.01	11392	166500	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	2	12	NaN	0.462	-8.74	91	964	0.3	0	338.29	4.6025	0	568.77	3.94821917808219	0.01	0.01	11375	167820	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	2	13	NaN	0.338	-5.18	89	960	0.3	0.1	336.22	5.375	0	567.94	3.94698630136986	0.01	0.01	11359	169130	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	2	14	NaN	0.5	-1.72	91	956	0.3	0	334.24	-0.88	0	567.11	3.94575342465753	0.01	0.01	11342	170440	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	2	15	NaN	0.962	-0.870000000000001	91	948	0.2	0	332.34	2.1425	0	566.32	3.94452054794521	0.01	0.01	11326	171750	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	2	16	NaN	1	-0.969999999999999	92	945	0.1	0	330.53	2.8475	0	565.49	3.94328767123288	0.01	0.01	11310	173050	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	2	17	NaN	0.962	-1.06	92	944	0.2	1.8	328.8	2.915	0	564.65	3.94205479452055	0.01	0.01	11293	174360	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	2	18	NaN	0.962	-1.15	88	942	0.6	2.6	327.13	-0.3175	0	563.88	3.94082191780822	0.01	0.01	11278	175660	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	2	19	NaN	0.838	-2.93	70	939	1.1	5.5	325.54	-4.675	0	563.05	3.93958904109589	0.01	0.01	11261	176960	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	2	20	NaN	1	-6.4	70	938	1.2	2.6	324.01	-2.71	0	562.23	3.93835616438356	0.01	0.01	11245	178260	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	2	21	NaN	0.462	-8.74	72	937	0.6	1.2	322.52	-0.46	0	561.45	3.93712328767123	0.01	0.01	11229	179560	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	2	22	NaN	0.212	-12.77	77	934	0.3	0	321.11	5.3075	0	560.63	3.9358904109589	0.01	0.01	11213	180850	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	2	23	NaN	0.538	-12.12	84	934	0.2	0	319.73	2.3525	0	559.87	3.93465753424658	0.01	0.01	11197	182140	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	2	24	NaN	0.088	-13.61	82	942	0.3	0.5	318.41	1.0175	0	559.06	3.93342465753425	0.01	0.01	11181	183430	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	2	25	NaN	1	-11.83	86	942	0.2	0	317.13	1.295	0	558.28	3.93219178082192	0.01	0.01	11166	184720	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	2	26	NaN	1	-4.53	89	934	0.2	2.7	315.9	0.95	0	557.49	3.93095890410959	0.01	0.01	11150	186010	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	2	27	NaN	0.962	-0.0300000000000011	91	934	0.5	0.7	314.7	-0.3175	0	556.67	3.92972602739726	0.01	0.01	11133	187300	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	2	28	NaN	1	0.629999999999999	84	932	0.2	3.2	313.54	1.37	0	555.91	3.92849315068493	0.01	0.01	11118	188580	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	3	1	NaN	0.338	0.440000000000001	77	934	0.5	0	312.41	-0.175	0	555.16	3.9272602739726	0.01	0.01	11103	189850	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	3	2	NaN	0.462	-1.9	70	945	1	0	311.32	1.79	0	554.37	3.92602739726027	0.01	0.01	11087	191130	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	3	3	NaN	0.125	-1.43	86	952	0.7	0	310.25	2.21	0	553.6	3.92479452054795	0.01	0.01	11072	192410	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	3	4	NaN	0.712	-0.5	86	957	1	0	309.22	2.705	0	552.84	3.92356164383562	0.01	0.01	11057	193690	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	3	5	NaN	0.625	-0.780000000000001	87	956	0.3	0	308.21	1.9325	0	552.07	3.92232876712329	0.01	0.01	11041	194960	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	3	6	NaN	0.125	-7.24	87	963	0.4	1.1	307.22	2.3525	0	551.32	3.92109589041096	0.01	0.01	11026	196230	8000	0	0	0	0	0	0	0	0	0	0	0	0
