"Var1","Var2","Var3","Var4","simid"
1,1,1,1,1
2,1,1,1,2
3,1,1,1,3
1,2,1,1,4
2,2,1,1,5
3,2,1,1,6
1,3,1,1,7
2,3,1,1,8
3,3,1,1,9
1,1,2,1,10
2,1,2,1,11
3,1,2,1,12
1,2,2,1,13
2,2,2,1,14
3,2,2,1,15
1,3,2,1,16
2,3,2,1,17
3,3,2,1,18
1,1,3,1,19
2,1,3,1,20
3,1,3,1,21
1,2,3,1,22
2,2,3,1,23
3,2,3,1,24
1,3,3,1,25
2,3,3,1,26
3,3,3,1,27
1,1,1,2,28
2,1,1,2,29
3,1,1,2,30
1,2,1,2,31
2,2,1,2,32
3,2,1,2,33
1,3,1,2,34
2,3,1,2,35
3,3,1,2,36
1,1,2,2,37
2,1,2,2,38
3,1,2,2,39
1,2,2,2,40
2,2,2,2,41
3,2,2,2,42
1,3,2,2,43
2,3,2,2,44
3,3,2,2,45
1,1,3,2,46
2,1,3,2,47
3,1,3,2,48
1,2,3,2,49
2,2,3,2,50
3,2,3,2,51
1,3,3,2,52
2,3,3,2,53
3,3,3,2,54
1,1,1,3,55
2,1,1,3,56
3,1,1,3,57
1,2,1,3,58
2,2,1,3,59
3,2,1,3,60
1,3,1,3,61
2,3,1,3,62
3,3,1,3,63
1,1,2,3,64
2,1,2,3,65
3,1,2,3,66
1,2,2,3,67
2,2,2,3,68
3,2,2,3,69
1,3,2,3,70
2,3,2,3,71
3,3,2,3,72
1,1,3,3,73
2,1,3,3,74
3,1,3,3,75
1,2,3,3,76
2,2,3,3,77
3,2,3,3,78
1,3,3,3,79
2,3,3,3,80
3,3,3,3,81
