"Var1","Var2","Var3","Var4","simid"
1,1,1,1,1
2,1,1,1,2
3,1,1,1,3
4,1,1,1,4
5,1,1,1,5
1,2,1,1,6
2,2,1,1,7
3,2,1,1,8
4,2,1,1,9
5,2,1,1,10
1,3,1,1,11
2,3,1,1,12
3,3,1,1,13
4,3,1,1,14
5,3,1,1,15
1,4,1,1,16
2,4,1,1,17
3,4,1,1,18
4,4,1,1,19
5,4,1,1,20
1,5,1,1,21
2,5,1,1,22
3,5,1,1,23
4,5,1,1,24
5,5,1,1,25
1,1,2,1,26
2,1,2,1,27
3,1,2,1,28
4,1,2,1,29
5,1,2,1,30
1,2,2,1,31
2,2,2,1,32
3,2,2,1,33
4,2,2,1,34
5,2,2,1,35
1,3,2,1,36
2,3,2,1,37
3,3,2,1,38
4,3,2,1,39
5,3,2,1,40
1,4,2,1,41
2,4,2,1,42
3,4,2,1,43
4,4,2,1,44
5,4,2,1,45
1,5,2,1,46
2,5,2,1,47
3,5,2,1,48
4,5,2,1,49
5,5,2,1,50
1,1,3,1,51
2,1,3,1,52
3,1,3,1,53
4,1,3,1,54
5,1,3,1,55
1,2,3,1,56
2,2,3,1,57
3,2,3,1,58
4,2,3,1,59
5,2,3,1,60
1,3,3,1,61
2,3,3,1,62
3,3,3,1,63
4,3,3,1,64
5,3,3,1,65
1,4,3,1,66
2,4,3,1,67
3,4,3,1,68
4,4,3,1,69
5,4,3,1,70
1,5,3,1,71
2,5,3,1,72
3,5,3,1,73
4,5,3,1,74
5,5,3,1,75
1,1,4,1,76
2,1,4,1,77
3,1,4,1,78
4,1,4,1,79
5,1,4,1,80
1,2,4,1,81
2,2,4,1,82
3,2,4,1,83
4,2,4,1,84
5,2,4,1,85
1,3,4,1,86
2,3,4,1,87
3,3,4,1,88
4,3,4,1,89
5,3,4,1,90
1,4,4,1,91
2,4,4,1,92
3,4,4,1,93
4,4,4,1,94
5,4,4,1,95
1,5,4,1,96
2,5,4,1,97
3,5,4,1,98
4,5,4,1,99
5,5,4,1,100
1,1,5,1,101
2,1,5,1,102
3,1,5,1,103
4,1,5,1,104
5,1,5,1,105
1,2,5,1,106
2,2,5,1,107
3,2,5,1,108
4,2,5,1,109
5,2,5,1,110
1,3,5,1,111
2,3,5,1,112
3,3,5,1,113
4,3,5,1,114
5,3,5,1,115
1,4,5,1,116
2,4,5,1,117
3,4,5,1,118
4,4,5,1,119
5,4,5,1,120
1,5,5,1,121
2,5,5,1,122
3,5,5,1,123
4,5,5,1,124
5,5,5,1,125
1,1,1,2,126
2,1,1,2,127
3,1,1,2,128
4,1,1,2,129
5,1,1,2,130
1,2,1,2,131
2,2,1,2,132
3,2,1,2,133
4,2,1,2,134
5,2,1,2,135
1,3,1,2,136
2,3,1,2,137
3,3,1,2,138
4,3,1,2,139
5,3,1,2,140
1,4,1,2,141
2,4,1,2,142
3,4,1,2,143
4,4,1,2,144
5,4,1,2,145
1,5,1,2,146
2,5,1,2,147
3,5,1,2,148
4,5,1,2,149
5,5,1,2,150
1,1,2,2,151
2,1,2,2,152
3,1,2,2,153
4,1,2,2,154
5,1,2,2,155
1,2,2,2,156
2,2,2,2,157
3,2,2,2,158
4,2,2,2,159
5,2,2,2,160
1,3,2,2,161
2,3,2,2,162
3,3,2,2,163
4,3,2,2,164
5,3,2,2,165
1,4,2,2,166
2,4,2,2,167
3,4,2,2,168
4,4,2,2,169
5,4,2,2,170
1,5,2,2,171
2,5,2,2,172
3,5,2,2,173
4,5,2,2,174
5,5,2,2,175
1,1,3,2,176
2,1,3,2,177
3,1,3,2,178
4,1,3,2,179
5,1,3,2,180
1,2,3,2,181
2,2,3,2,182
3,2,3,2,183
4,2,3,2,184
5,2,3,2,185
1,3,3,2,186
2,3,3,2,187
3,3,3,2,188
4,3,3,2,189
5,3,3,2,190
1,4,3,2,191
2,4,3,2,192
3,4,3,2,193
4,4,3,2,194
5,4,3,2,195
1,5,3,2,196
2,5,3,2,197
3,5,3,2,198
4,5,3,2,199
5,5,3,2,200
1,1,4,2,201
2,1,4,2,202
3,1,4,2,203
4,1,4,2,204
5,1,4,2,205
1,2,4,2,206
2,2,4,2,207
3,2,4,2,208
4,2,4,2,209
5,2,4,2,210
1,3,4,2,211
2,3,4,2,212
3,3,4,2,213
4,3,4,2,214
5,3,4,2,215
1,4,4,2,216
2,4,4,2,217
3,4,4,2,218
4,4,4,2,219
5,4,4,2,220
1,5,4,2,221
2,5,4,2,222
3,5,4,2,223
4,5,4,2,224
5,5,4,2,225
1,1,5,2,226
2,1,5,2,227
3,1,5,2,228
4,1,5,2,229
5,1,5,2,230
1,2,5,2,231
2,2,5,2,232
3,2,5,2,233
4,2,5,2,234
5,2,5,2,235
1,3,5,2,236
2,3,5,2,237
3,3,5,2,238
4,3,5,2,239
5,3,5,2,240
1,4,5,2,241
2,4,5,2,242
3,4,5,2,243
4,4,5,2,244
5,4,5,2,245
1,5,5,2,246
2,5,5,2,247
3,5,5,2,248
4,5,5,2,249
5,5,5,2,250
1,1,1,3,251
2,1,1,3,252
3,1,1,3,253
4,1,1,3,254
5,1,1,3,255
1,2,1,3,256
2,2,1,3,257
3,2,1,3,258
4,2,1,3,259
5,2,1,3,260
1,3,1,3,261
2,3,1,3,262
3,3,1,3,263
4,3,1,3,264
5,3,1,3,265
1,4,1,3,266
2,4,1,3,267
3,4,1,3,268
4,4,1,3,269
5,4,1,3,270
1,5,1,3,271
2,5,1,3,272
3,5,1,3,273
4,5,1,3,274
5,5,1,3,275
1,1,2,3,276
2,1,2,3,277
3,1,2,3,278
4,1,2,3,279
5,1,2,3,280
1,2,2,3,281
2,2,2,3,282
3,2,2,3,283
4,2,2,3,284
5,2,2,3,285
1,3,2,3,286
2,3,2,3,287
3,3,2,3,288
4,3,2,3,289
5,3,2,3,290
1,4,2,3,291
2,4,2,3,292
3,4,2,3,293
4,4,2,3,294
5,4,2,3,295
1,5,2,3,296
2,5,2,3,297
3,5,2,3,298
4,5,2,3,299
5,5,2,3,300
1,1,3,3,301
2,1,3,3,302
3,1,3,3,303
4,1,3,3,304
5,1,3,3,305
1,2,3,3,306
2,2,3,3,307
