Var1,Var2,Var3,Var4,simid,ex1,ex2,ex3,ex4,ex,ma1,ma2,ma3,ma4,ma
1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2,1,1,1,2,0,1,1,1,0,0,1,1,1,0
3,1,1,1,3,0,1,1,1,0,1,1,1,1,1
4,1,1,1,4,0,1,1,1,0,0,1,1,1,0
5,1,1,1,5,1,1,1,1,1,1,1,1,1,0
1,2,1,1,6,1,0,1,1,0,1,0,1,1,0
2,2,1,1,7,0,0,1,1,0,0,0,1,1,0
3,2,1,1,8,0,0,1,1,0,1,0,1,1,0
4,2,1,1,9,0,0,1,1,0,0,0,1,1,0
5,2,1,1,10,1,0,1,1,0,1,0,1,1,0
1,3,1,1,11,1,0,1,1,0,1,1,1,1,1
2,3,1,1,12,0,0,1,1,0,0,1,1,1,0
3,3,1,1,13,0,0,1,1,0,1,1,1,1,1
4,3,1,1,14,0,0,1,1,0,0,1,1,1,0
5,3,1,1,15,1,0,1,1,0,1,1,1,1,1
1,4,1,1,16,1,0,1,1,0,1,0,1,1,0
2,4,1,1,17,0,0,1,1,0,0,0,1,1,0
3,4,1,1,18,0,0,1,1,0,1,0,1,1,0
4,4,1,1,19,0,0,1,1,0,0,0,1,1,0
5,4,1,1,20,1,0,1,1,0,1,0,1,1,0
1,5,1,1,21,1,1,1,1,1,1,1,1,1,0
2,5,1,1,22,0,1,1,1,0,0,1,1,1,0
3,5,1,1,23,0,1,1,1,0,1,1,1,1,1
4,5,1,1,24,0,1,1,1,0,0,1,1,1,0
5,5,1,1,25,1,1,1,1,1,1,1,1,1,0
1,1,2,1,26,1,1,0,1,0,1,1,0,1,0
2,1,2,1,27,0,1,0,1,0,0,1,0,1,0
3,1,2,1,28,0,1,0,1,0,1,1,0,1,0
4,1,2,1,29,0,1,0,1,0,0,1,0,1,0
5,1,2,1,30,1,1,0,1,0,1,1,0,1,0
1,2,2,1,31,1,0,0,1,0,1,0,0,1,0
2,2,2,1,32,0,0,0,1,0,0,0,0,1,0
3,2,2,1,33,0,0,0,1,0,1,0,0,1,0
4,2,2,1,34,0,0,0,1,0,0,0,0,1,0
5,2,2,1,35,1,0,0,1,0,1,0,0,1,0
1,3,2,1,36,1,0,0,1,0,1,1,0,1,0
2,3,2,1,37,0,0,0,1,0,0,1,0,1,0
3,3,2,1,38,0,0,0,1,0,1,1,0,1,0
4,3,2,1,39,0,0,0,1,0,0,1,0,1,0
5,3,2,1,40,1,0,0,1,0,1,1,0,1,0
1,4,2,1,41,1,0,0,1,0,1,0,0,1,0
2,4,2,1,42,0,0,0,1,0,0,0,0,1,0
3,4,2,1,43,0,0,0,1,0,1,0,0,1,0
4,4,2,1,44,0,0,0,1,0,0,0,0,1,0
5,4,2,1,45,1,0,0,1,0,1,0,0,1,0
1,5,2,1,46,1,1,0,1,0,1,1,0,1,0
2,5,2,1,47,0,1,0,1,0,0,1,0,1,0
3,5,2,1,48,0,1,0,1,0,1,1,0,1,0
4,5,2,1,49,0,1,0,1,0,0,1,0,1,0
5,5,2,1,50,1,1,0,1,0,1,1,0,1,0
1,1,3,1,51,1,1,0,1,0,1,1,1,1,1
2,1,3,1,52,0,1,0,1,0,0,1,1,1,0
3,1,3,1,53,0,1,0,1,0,1,1,1,1,1
4,1,3,1,54,0,1,0,1,0,0,1,1,1,0
5,1,3,1,55,1,1,0,1,0,1,1,1,1,1
1,2,3,1,56,1,0,0,1,0,1,0,1,1,0
2,2,3,1,57,0,0,0,1,0,0,0,1,1,0
3,2,3,1,58,0,0,0,1,0,1,0,1,1,0
4,2,3,1,59,0,0,0,1,0,0,0,1,1,0
5,2,3,1,60,1,0,0,1,0,1,0,1,1,0
1,3,3,1,61,1,0,0,1,0,1,1,1,1,1
2,3,3,1,62,0,0,0,1,0,0,1,1,1,0
3,3,3,1,63,0,0,0,1,0,1,1,1,1,1
4,3,3,1,64,0,0,0,1,0,0,1,1,1,0
5,3,3,1,65,1,0,0,1,0,1,1,1,1,1
1,4,3,1,66,1,0,0,1,0,1,0,1,1,0
2,4,3,1,67,0,0,0,1,0,0,0,1,1,0
3,4,3,1,68,0,0,0,1,0,1,0,1,1,0
4,4,3,1,69,0,0,0,1,0,0,0,1,1,0
5,4,3,1,70,1,0,0,1,0,1,0,1,1,0
1,5,3,1,71,1,1,0,1,0,1,1,1,1,1
2,5,3,1,72,0,1,0,1,0,0,1,1,1,0
3,5,3,1,73,0,1,0,1,0,1,1,1,1,1
4,5,3,1,74,0,1,0,1,0,0,1,1,1,0
5,5,3,1,75,1,1,0,1,0,1,1,1,1,1
1,1,4,1,76,1,1,0,1,0,1,1,0,1,0
2,1,4,1,77,0,1,0,1,0,0,1,0,1,0
3,1,4,1,78,0,1,0,1,0,1,1,0,1,0
4,1,4,1,79,0,1,0,1,0,0,1,0,1,0
5,1,4,1,80,1,1,0,1,0,1,1,0,1,0
1,2,4,1,81,1,0,0,1,0,1,0,0,1,0
2,2,4,1,82,0,0,0,1,0,0,0,0,1,0
3,2,4,1,83,0,0,0,1,0,1,0,0,1,0
4,2,4,1,84,0,0,0,1,0,0,0,0,1,0
5,2,4,1,85,1,0,0,1,0,1,0,0,1,0
1,3,4,1,86,1,0,0,1,0,1,1,0,1,0
2,3,4,1,87,0,0,0,1,0,0,1,0,1,0
3,3,4,1,88,0,0,0,1,0,1,1,0,1,0
4,3,4,1,89,0,0,0,1,0,0,1,0,1,0
5,3,4,1,90,1,0,0,1,0,1,1,0,1,0
1,4,4,1,91,1,0,0,1,0,1,0,0,1,0
2,4,4,1,92,0,0,0,1,0,0,0,0,1,0
3,4,4,1,93,0,0,0,1,0,1,0,0,1,0
4,4,4,1,94,0,0,0,1,0,0,0,0,1,0
5,4,4,1,95,1,0,0,1,0,1,0,0,1,0
1,5,4,1,96,1,1,0,1,0,1,1,0,1,0
2,5,4,1,97,0,1,0,1,0,0,1,0,1,0
3,5,4,1,98,0,1,0,1,0,1,1,0,1,0
4,5,4,1,99,0,1,0,1,0,0,1,0,1,0
5,5,4,1,100,1,1,0,1,0,1,1,0,1,0
