"Var1","Var2","Var3","Var4","simid"
1,1,1,1,1
2,1,1,1,2
3,1,1,1,3
4,1,1,1,4
5,1,1,1,5
6,1,1,1,6
7,1,1,1,7
8,1,1,1,8
9,1,1,1,9
1,2,1,1,10
2,2,1,1,11
3,2,1,1,12
4,2,1,1,13
5,2,1,1,14
6,2,1,1,15
7,2,1,1,16
8,2,1,1,17
9,2,1,1,18
1,3,1,1,19
2,3,1,1,20
3,3,1,1,21
4,3,1,1,22
5,3,1,1,23
6,3,1,1,24
7,3,1,1,25
8,3,1,1,26
9,3,1,1,27
1,4,1,1,28
2,4,1,1,29
3,4,1,1,30
4,4,1,1,31
5,4,1,1,32
6,4,1,1,33
7,4,1,1,34
8,4,1,1,35
9,4,1,1,36
1,5,1,1,37
2,5,1,1,38
3,5,1,1,39
4,5,1,1,40
5,5,1,1,41
6,5,1,1,42
7,5,1,1,43
8,5,1,1,44
9,5,1,1,45
1,6,1,1,46
2,6,1,1,47
3,6,1,1,48
4,6,1,1,49
5,6,1,1,50
6,6,1,1,51
7,6,1,1,52
8,6,1,1,53
9,6,1,1,54
1,7,1,1,55
2,7,1,1,56
3,7,1,1,57
4,7,1,1,58
5,7,1,1,59
6,7,1,1,60
7,7,1,1,61
8,7,1,1,62
9,7,1,1,63
1,8,1,1,64
2,8,1,1,65
3,8,1,1,66
4,8,1,1,67
5,8,1,1,68
6,8,1,1,69
7,8,1,1,70
8,8,1,1,71
9,8,1,1,72
1,9,1,1,73
2,9,1,1,74
3,9,1,1,75
4,9,1,1,76
5,9,1,1,77
6,9,1,1,78
7,9,1,1,79
8,9,1,1,80
9,9,1,1,81
1,1,2,1,82
2,1,2,1,83
3,1,2,1,84
4,1,2,1,85
5,1,2,1,86
6,1,2,1,87
7,1,2,1,88
8,1,2,1,89
9,1,2,1,90
1,2,2,1,91
2,2,2,1,92
3,2,2,1,93
4,2,2,1,94
5,2,2,1,95
6,2,2,1,96
7,2,2,1,97
8,2,2,1,98
9,2,2,1,99
1,3,2,1,100
2,3,2,1,101
3,3,2,1,102
4,3,2,1,103
5,3,2,1,104
6,3,2,1,105
7,3,2,1,106
8,3,2,1,107
9,3,2,1,108
1,4,2,1,109
2,4,2,1,110
3,4,2,1,111
4,4,2,1,112
5,4,2,1,113
6,4,2,1,114
7,4,2,1,115
8,4,2,1,116
9,4,2,1,117
1,5,2,1,118
2,5,2,1,119
3,5,2,1,120
4,5,2,1,121
5,5,2,1,122
6,5,2,1,123
7,5,2,1,124
8,5,2,1,125
9,5,2,1,126
1,6,2,1,127
2,6,2,1,128
3,6,2,1,129
4,6,2,1,130
5,6,2,1,131
6,6,2,1,132
7,6,2,1,133
8,6,2,1,134
9,6,2,1,135
1,7,2,1,136
2,7,2,1,137
3,7,2,1,138
4,7,2,1,139
5,7,2,1,140
6,7,2,1,141
7,7,2,1,142
8,7,2,1,143
9,7,2,1,144
1,8,2,1,145
2,8,2,1,146
3,8,2,1,147
4,8,2,1,148
5,8,2,1,149
6,8,2,1,150
7,8,2,1,151
8,8,2,1,152
9,8,2,1,153
1,9,2,1,154
2,9,2,1,155
3,9,2,1,156
4,9,2,1,157
5,9,2,1,158
6,9,2,1,159
7,9,2,1,160
8,9,2,1,161
9,9,2,1,162
1,1,3,1,163
2,1,3,1,164
3,1,3,1,165
4,1,3,1,166
5,1,3,1,167
6,1,3,1,168
7,1,3,1,169
8,1,3,1,170
9,1,3,1,171
1,2,3,1,172
2,2,3,1,173
3,2,3,1,174
4,2,3,1,175
5,2,3,1,176
6,2,3,1,177
7,2,3,1,178
8,2,3,1,179
9,2,3,1,180
1,3,3,1,181
2,3,3,1,182
3,3,3,1,183
4,3,3,1,184
5,3,3,1,185
6,3,3,1,186
7,3,3,1,187
8,3,3,1,188
9,3,3,1,189
1,4,3,1,190
2,4,3,1,191
3,4,3,1,192
4,4,3,1,193
5,4,3,1,194
6,4,3,1,195
7,4,3,1,196
8,4,3,1,197
9,4,3,1,198
1,5,3,1,199
2,5,3,1,200
3,5,3,1,201
4,5,3,1,202
5,5,3,1,203
6,5,3,1,204
7,5,3,1,205
8,5,3,1,206
9,5,3,1,207
1,6,3,1,208
2,6,3,1,209
3,6,3,1,210
4,6,3,1,211
5,6,3,1,212
6,6,3,1,213
7,6,3,1,214
8,6,3,1,215
9,6,3,1,216
1,7,3,1,217
2,7,3,1,218
3,7,3,1,219
4,7,3,1,220
5,7,3,1,221
6,7,3,1,222
7,7,3,1,223
8,7,3,1,224
9,7,3,1,225
1,8,3,1,226
2,8,3,1,227
3,8,3,1,228
4,8,3,1,229
5,8,3,1,230
6,8,3,1,231
7,8,3,1,232
8,8,3,1,233
9,8,3,1,234
1,9,3,1,235
2,9,3,1,236
3,9,3,1,237
4,9,3,1,238
5,9,3,1,239
6,9,3,1,240
7,9,3,1,241
8,9,3,1,242
9,9,3,1,243
1,1,4,1,244
2,1,4,1,245
3,1,4,1,246
4,1,4,1,247
5,1,4,1,248
6,1,4,1,249
7,1,4,1,250
8,1,4,1,251
9,1,4,1,252
1,2,4,1,253
2,2,4,1,254
3,2,4,1,255
4,2,4,1,256
5,2,4,1,257
6,2,4,1,258
7,2,4,1,259
8,2,4,1,260
9,2,4,1,261
1,3,4,1,262
2,3,4,1,263
3,3,4,1,264
4,3,4,1,265
5,3,4,1,266
6,3,4,1,267
7,3,4,1,268
8,3,4,1,269
9,3,4,1,270
1,4,4,1,271
2,4,4,1,272
3,4,4,1,273
4,4,4,1,274
5,4,4,1,275
6,4,4,1,276
7,4,4,1,277
8,4,4,1,278
9,4,4,1,279
1,5,4,1,280
2,5,4,1,281
3,5,4,1,282
4,5,4,1,283
5,5,4,1,284
6,5,4,1,285
7,5,4,1,286
8,5,4,1,287
9,5,4,1,288
1,6,4,1,289
2,6,4,1,290
3,6,4,1,291
4,6,4,1,292
5,6,4,1,293
6,6,4,1,294
7,6,4,1,295
8,6,4,1,296
9,6,4,1,297
1,7,4,1,298
2,7,4,1,299
3,7,4,1,300
4,7,4,1,301
5,7,4,1,302
6,7,4,1,303
7,7,4,1,304
8,7,4,1,305
9,7,4,1,306
1,8,4,1,307
