"Var1","Var2","Var3","Var4","simid"
1,1,1,1,1
2,1,1,1,2
3,1,1,1,3
4,1,1,1,4
5,1,1,1,5
6,1,1,1,6
7,1,1,1,7
8,1,1,1,8
9,1,1,1,9
10,1,1,1,10
11,1,1,1,11
12,1,1,1,12
13,1,1,1,13
14,1,1,1,14
15,1,1,1,15
16,1,1,1,16
17,1,1,1,17
18,1,1,1,18
19,1,1,1,19
20,1,1,1,20
21,1,1,1,21
22,1,1,1,22
23,1,1,1,23
24,1,1,1,24
25,1,1,1,25
26,1,1,1,26
27,1,1,1,27
28,1,1,1,28
29,1,1,1,29
30,1,1,1,30
31,1,1,1,31
32,1,1,1,32
33,1,1,1,33
34,1,1,1,34
35,1,1,1,35
36,1,1,1,36
37,1,1,1,37
38,1,1,1,38
39,1,1,1,39
40,1,1,1,40
41,1,1,1,41
42,1,1,1,42
43,1,1,1,43
44,1,1,1,44
45,1,1,1,45
46,1,1,1,46
47,1,1,1,47
48,1,1,1,48
49,1,1,1,49
50,1,1,1,50
51,1,1,1,51
1,2,1,1,52
2,2,1,1,53
3,2,1,1,54
4,2,1,1,55
5,2,1,1,56
6,2,1,1,57
7,2,1,1,58
8,2,1,1,59
9,2,1,1,60
10,2,1,1,61
11,2,1,1,62
12,2,1,1,63
13,2,1,1,64
14,2,1,1,65
15,2,1,1,66
16,2,1,1,67
17,2,1,1,68
18,2,1,1,69
19,2,1,1,70
20,2,1,1,71
21,2,1,1,72
22,2,1,1,73
23,2,1,1,74
24,2,1,1,75
25,2,1,1,76
26,2,1,1,77
27,2,1,1,78
28,2,1,1,79
29,2,1,1,80
30,2,1,1,81
31,2,1,1,82
32,2,1,1,83
33,2,1,1,84
34,2,1,1,85
35,2,1,1,86
36,2,1,1,87
37,2,1,1,88
38,2,1,1,89
39,2,1,1,90
40,2,1,1,91
41,2,1,1,92
42,2,1,1,93
43,2,1,1,94
44,2,1,1,95
45,2,1,1,96
46,2,1,1,97
47,2,1,1,98
48,2,1,1,99
49,2,1,1,100
50,2,1,1,101
51,2,1,1,102
1,3,1,1,103
2,3,1,1,104
3,3,1,1,105
4,3,1,1,106
5,3,1,1,107
6,3,1,1,108
7,3,1,1,109
8,3,1,1,110
9,3,1,1,111
10,3,1,1,112
11,3,1,1,113
12,3,1,1,114
13,3,1,1,115
14,3,1,1,116
15,3,1,1,117
16,3,1,1,118
17,3,1,1,119
18,3,1,1,120
19,3,1,1,121
20,3,1,1,122
21,3,1,1,123
22,3,1,1,124
23,3,1,1,125
24,3,1,1,126
25,3,1,1,127
26,3,1,1,128
27,3,1,1,129
28,3,1,1,130
29,3,1,1,131
30,3,1,1,132
31,3,1,1,133
32,3,1,1,134
33,3,1,1,135
34,3,1,1,136
35,3,1,1,137
36,3,1,1,138
37,3,1,1,139
38,3,1,1,140
39,3,1,1,141
40,3,1,1,142
41,3,1,1,143
42,3,1,1,144
43,3,1,1,145
44,3,1,1,146
45,3,1,1,147
46,3,1,1,148
47,3,1,1,149
48,3,1,1,150
49,3,1,1,151
50,3,1,1,152
51,3,1,1,153
1,4,1,1,154
2,4,1,1,155
3,4,1,1,156
4,4,1,1,157
5,4,1,1,158
6,4,1,1,159
7,4,1,1,160
8,4,1,1,161
9,4,1,1,162
10,4,1,1,163
11,4,1,1,164
12,4,1,1,165
13,4,1,1,166
14,4,1,1,167
15,4,1,1,168
16,4,1,1,169
17,4,1,1,170
18,4,1,1,171
19,4,1,1,172
20,4,1,1,173
21,4,1,1,174
22,4,1,1,175
23,4,1,1,176
24,4,1,1,177
25,4,1,1,178
26,4,1,1,179
27,4,1,1,180
28,4,1,1,181
29,4,1,1,182
30,4,1,1,183
31,4,1,1,184
32,4,1,1,185
33,4,1,1,186
34,4,1,1,187
35,4,1,1,188
36,4,1,1,189
37,4,1,1,190
38,4,1,1,191
39,4,1,1,192
40,4,1,1,193
41,4,1,1,194
42,4,1,1,195
43,4,1,1,196
44,4,1,1,197
45,4,1,1,198
46,4,1,1,199
47,4,1,1,200
48,4,1,1,201
49,4,1,1,202
50,4,1,1,203
51,4,1,1,204
1,5,1,1,205
2,5,1,1,206
3,5,1,1,207
4,5,1,1,208
5,5,1,1,209
6,5,1,1,210
7,5,1,1,211
8,5,1,1,212
9,5,1,1,213
10,5,1,1,214
11,5,1,1,215
12,5,1,1,216
13,5,1,1,217
14,5,1,1,218
15,5,1,1,219
16,5,1,1,220
17,5,1,1,221
18,5,1,1,222
19,5,1,1,223
20,5,1,1,224
21,5,1,1,225
22,5,1,1,226
23,5,1,1,227
24,5,1,1,228
25,5,1,1,229
26,5,1,1,230
27,5,1,1,231
28,5,1,1,232
29,5,1,1,233
30,5,1,1,234
31,5,1,1,235
32,5,1,1,236
33,5,1,1,237
34,5,1,1,238
35,5,1,1,239
36,5,1,1,240
37,5,1,1,241
38,5,1,1,242
39,5,1,1,243
40,5,1,1,244
41,5,1,1,245
42,5,1,1,246
43,5,1,1,247
44,5,1,1,248
45,5,1,1,249
46,5,1,1,250
47,5,1,1,251
48,5,1,1,252
49,5,1,1,253
50,5,1,1,254
51,5,1,1,255
1,6,1,1,256
2,6,1,1,257
3,6,1,1,258
4,6,1,1,259
5,6,1,1,260
6,6,1,1,261
7,6,1,1,262
8,6,1,1,263
9,6,1,1,264
10,6,1,1,265
11,6,1,1,266
12,6,1,1,267
13,6,1,1,268
14,6,1,1,269
15,6,1,1,270
16,6,1,1,271
17,6,1,1,272
18,6,1,1,273
19,6,1,1,274
20,6,1,1,275
21,6,1,1,276
22,6,1,1,277
23,6,1,1,278
24,6,1,1,279
25,6,1,1,280
26,6,1,1,281
27,6,1,1,282
28,6,1,1,283
29,6,1,1,284
30,6,1,1,285
31,6,1,1,286
32,6,1,1,287
33,6,1,1,288
34,6,1,1,289
35,6,1,1,290
36,6,1,1,291
37,6,1,1,292
38,6,1,1,293
39,6,1,1,294
40,6,1,1,295
41,6,1,1,296
42,6,1,1,297
43,6,1,1,298
44,6,1,1,299
45,6,1,1,300
46,6,1,1,301
47,6,1,1,302
48,6,1,1,303
49,6,1,1,304
50,6,1,1,305
51,6,1,1,306
1,7,1,1,307
