-999	Langtjern	"Temperature based on real observation on 26-05-2010 10:00 to 8:00 the following day (12 measurements); top temperature same as at 1.0 m, bottom 4.1 degrees, otherwise interpolated"																											
Z (m)	Az (m2)	Tz (deg C)	Cz	Sz (kg/m3)	TPz (mg/m3)	DOPz (mg/m3)	Chlaz (mg/m3)	DOCz (mg/m3)	TPz_sed (mg/m3)	Chlaz_sed (mg/m3)	Fvol_IM (m3/m3, dry w.)	Hice (m)	Hsnow (m)																
0	59774	10.28	0	0.004	21	7	7	10000	756732	196747	0.92	0	0	9600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	47228.83951	10.28	0	0.004	21	7	7	10000	756732	196747	0.92	0	0	9200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	36159.58025	8.03	0	0.004	21	7	7	10000	756732	196747	0.92	0	0	9000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	26566.22222	6.12	0	0.004	21	7	7	10000	756732	196747	0.92	0	0	8000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	18448.76543	5.31	0	0.004	21	7	7	10000	756732	196747	0.92	0	0	7500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	11807.20988	4.97	0	0.004	21	7	7	10000	756732	196747	0.92	0	0	7500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	6641.555556	4.63	0	0.004	21	7	7	10000	756732	196747	0.92	0	0	7000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	2951.802469	4.535	0	0.004	21	7	7	10000	756732	196747	0.92	0	0	6000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	737.9506173	4.44	0	0.004	21	7	7	10000	756732	196747	0.92	0	0	6000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	0	4.1	0	0.004	21	7	7	10000	756732	196747	0.92	0	0	6000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
